sector,region_of_residence,gender,min_age,max_age,age_group,max_tax_rate,min_income_brackets,max_income_brackets,income_bracket_range,population_size
personale difesa  sicurezza e soccorso pubblico,sardegna,1,18,24,18-24,35,oltre i 28000,fino a 50000,28000–50000,26
personale difesa  sicurezza e soccorso pubblico,sardegna,1,25,34,25-34,23,,fino a 28000,0–28000,1562
personale difesa  sicurezza e soccorso pubblico,sardegna,1,25,34,25-34,35,oltre i 28000,fino a 50000,28000–50000,312
personale difesa  sicurezza e soccorso pubblico,sardegna,1,35,44,35-44,23,,fino a 28000,0–28000,948
personale difesa  sicurezza e soccorso pubblico,sardegna,1,35,44,35-44,35,oltre i 28000,fino a 50000,28000–50000,1984
personale difesa  sicurezza e soccorso pubblico,sardegna,1,35,44,35-44,43,oltre i 50000,,50000+,5
personale difesa  sicurezza e soccorso pubblico,sardegna,1,45,54,45-54,23,,fino a 28000,0–28000,207
personale difesa  sicurezza e soccorso pubblico,sardegna,1,45,54,45-54,35,oltre i 28000,fino a 50000,28000–50000,5644
personale difesa  sicurezza e soccorso pubblico,sardegna,1,45,54,45-54,43,oltre i 50000,,50000+,3
personale difesa  sicurezza e soccorso pubblico,sardegna,1,55,64,55-64,23,,fino a 28000,0–28000,153
personale difesa  sicurezza e soccorso pubblico,sardegna,1,55,64,55-64,35,oltre i 28000,fino a 50000,28000–50000,2417
personale difesa  sicurezza e soccorso pubblico,sardegna,1,55,64,55-64,43,oltre i 50000,,50000+,3
personale difesa  sicurezza e soccorso pubblico,sicilia,0,65, ,65- ,23,,fino a 28000,0–28000,1
personale difesa  sicurezza e soccorso pubblico,sicilia,0,65, ,65- ,35,oltre i 28000,fino a 50000,28000–50000,5
personale difesa  sicurezza e soccorso pubblico,sicilia,0,18,24,18-24,23,,fino a 28000,0–28000,1085
personale difesa  sicurezza e soccorso pubblico,sicilia,0,18,24,18-24,35,oltre i 28000,fino a 50000,28000–50000,37
personale difesa  sicurezza e soccorso pubblico,sicilia,0,25,34,25-34,23,,fino a 28000,0–28000,1969
personale difesa  sicurezza e soccorso pubblico,sicilia,0,25,34,25-34,35,oltre i 28000,fino a 50000,28000–50000,360
personale difesa  sicurezza e soccorso pubblico,sicilia,0,35,44,35-44,23,,fino a 28000,0–28000,394
personale difesa  sicurezza e soccorso pubblico,sicilia,0,35,44,35-44,35,oltre i 28000,fino a 50000,28000–50000,483
personale difesa  sicurezza e soccorso pubblico,sicilia,0,45,54,45-54,23,,fino a 28000,0–28000,23
personale difesa  sicurezza e soccorso pubblico,sicilia,0,45,54,45-54,35,oltre i 28000,fino a 50000,28000–50000,442
personale difesa  sicurezza e soccorso pubblico,sicilia,0,45,54,45-54,43,oltre i 50000,,50000+,1
