municipality,administration,min_age,max_age,age_group,gender,payment_method,salary_records
viterbo,ministero dell'interno,25,34,25-34,1,conto corrente/carta conto,29
viterbo,ministero dell'interno,35,44,35-44,1,conto corrente/carta conto,83
viterbo,ministero dell'interno,45,54,45-54,0,conto corrente/carta conto,32
viterbo,ministero dell'interno,45,54,45-54,1,conto corrente/carta conto,211
viterbo,ministero dell'interno,55,64,55-64,0,conto corrente/carta conto,81
viterbo,ministero dell'interno,55,64,55-64,1,conto corrente/carta conto,179
viterbo,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,104
viterbo,ministero dell'istruzione e del merito,25,34,25-34,1,conto corrente/carta conto,42
viterbo,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,336
viterbo,ministero dell'istruzione e del merito,35,44,35-44,1,conto corrente/carta conto,104
viterbo,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,551
viterbo,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,121
viterbo,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,637
viterbo,ministero dell'istruzione e del merito,55,64,55-64,1,conto corrente/carta conto,184
viterbo,ministero dell'istruzione e del merito,65, ,65- ,0,conto corrente/carta conto,79
viterbo,ministero dell'istruzione e del merito,65, ,65- ,1,conto corrente/carta conto,21
viterbo,ministero della cultura,55,64,55-64,0,conto corrente/carta conto,6
viterbo,ministero della giustizia,18,24,18-24,1,conto corrente/carta conto,9
viterbo,ministero della giustizia,25,34,25-34,0,conto corrente/carta conto,33
viterbo,ministero della giustizia,25,34,25-34,1,conto corrente/carta conto,83
viterbo,ministero della giustizia,35,44,35-44,0,conto corrente/carta conto,27
viterbo,ministero della giustizia,35,44,35-44,1,conto corrente/carta conto,62
viterbo,ministero della giustizia,45,54,45-54,0,conto corrente/carta conto,42
viterbo,ministero della giustizia,45,54,45-54,1,conto corrente/carta conto,113
viterbo,ministero della giustizia,55,64,55-64,0,conto corrente/carta conto,51
viterbo,ministero della giustizia,55,64,55-64,1,conto corrente/carta conto,119
viterbo,ministero della giustizia,65, ,65- ,0,conto corrente/carta conto,6
viterbo,regione lazio,55,64,55-64,0,conto corrente/carta conto,13
viterbo,regione lazio,55,64,55-64,1,conto corrente/carta conto,10
vittoria,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,69
